projectName,projectId,roundType,roundDate,raiseAmount,sourcEuropean UnionRL,
Space & Time,heeyow,Series A,7/1/2022,10,https://www.coindesk.com/business/2022/07/28/decentralized-data-platform-space-and-time-raises-10m/,"Alchemy, Alliance, Avalanche, DCG, Fellows.Fund, Finality, IOSG, Samsung NEXT, SK, Framework"
Spacemesh,ojaphf,Series A,9/1/2018,15,https://www.coindesk.com/markets/2018/09/05/polychain-leads-blockmesh-developer-spacemeshs-15-million-fundraise/,"1kx, Arrington, Bain, Coinbase, Collaborative, DHVC, Digital Asset, Dragonfly, Electric, GreenfieLD, gumi Cryptos, Jack Herrick, Lemniscap, NGC, Paradigm, Polychain, Sequoia"
Spacemesh,ojaphf,Series A,8/1/2021,4,,"CMT Digital, Collab+Currency, Kosmos, Primitive, Tokentus, Alignment, Bancor, BRM, Dekrypt, Gigi Levy-Weiss, iAngels, Slow, Via.Io, Mindfulness"
StackOS,kd6pyc,Preseed,4/1/2021,,,"A195, Alphabit, AU21, Block Films, EcoFund, Follow [the] Seed, GravityX, Pantera, LVT, Magnus, Master, Matterblock, Moonwhale, NGC, Part One, PrivaSeed, Protocol, Rarestone, Spark Digital, Three M, x21, Zokyo Studio, Andromeda, NGC"
SteerFinance,nfdwqm,Seed,8/1/2022,1.5,https://steer.finance/steer-protocol-raises-1-5m-in-seed-funding-to-revolutionize-off-chain-computing-and-liquidity-management/,"Big Brain, Druid, Republic"
Store,nb0mpn,Preseed,12/1/2018,,,"Alphabit, Ari Nazir, Ari Paul, Matthew Ocko"
Store,nb0mpn,Seed,4/1/2021,,,"Big Deal, CSP, Tavis Digital, TeePee, Full Tilt"
Storj,arwynb,Preseed,8/1/2014,0.4,https://www.coindesk.com/markets/2014/08/22/cloud-storage-startup-storj-raises-910-btc-in-crowdsale/,"Pavel Cherkashin, Digital, Bitcoin.com"
Storj,arwynb,Seed,1/1/2017,3,https://www.coindesk.com/markets/2017/02/23/blockchain-startup-storj-targets-enterprise-cloud-with-3-million-raise/,"Google, Qualcomm, Techstars"
Subconscious,5xypv6,Preseed,11/1/2022,,,"Betaworks, BlueYard, Protocol Labs"
Subsquid,cp4cw6,Seed,11/1/2021,3.8,https://www.globenewswire.com/news-release/2021/11/12/2333467/0/en/Subsquid-Raises-3-8M-in-Seed-Round-Led-by-Hypersphere-Ventures.html,"0xVenturess, ARKN, Criterion, D1Ventures, DIA, Digital Finance, Faculty, Fat Cat, Hypersphere, Illusionist, Jsquare, KodaDot, Lattice, Marin Digital, Momentum 6, Newtribe, Signal, Signum, Smape, Stake Technologies, the Illusionist, XT Labs, Zee Prime, Zeitgeist"
Superlocal,3czn02,Seed,3/1/2020,1.5,https://dot.la/superlocal-2650547082.html,"Adam Ayers, DCM, General Catalyst, M13, Rainfall, Slow, SV Angel, Valhalla, Deep Space, NYVP"
Supra,2d4mvd,Accelerator,7/1/2021,1.5,https://www.mastercard.com/news/press/2021/july/mastercard-launches-new-start-path-cryptocurrency-and-blockchain-program-for-startups/,"Berkeley Xcelerator, MasterCard"
Supra,2d4mvd,Series A,9/1/2023,24,https://cointelegraph.com/press-releases/supra-completes-over-24m-in-early-stage-funding-to-date,"Animoca, BCW, Coinbase, FiveT Fintech, Galaxy Interactive, Hashed, Hashkey, Huobi, No Limit, Prosus, Razer, Republic, Shima, Signum, SMO, Sound, Sublime, UOB, Valor, Catenam, a41, Alfa Catalyst, Andromeda, Animoca, Brotherhood, C Squared, CryptoViet, Deeptech, Extra Watts, Fomocraft, Galaxy Interactive, Hashkey, Momentum 6, NGC, Nineyards, Oracles, Plug and Play, Republic, Token Bay, Varys, Zephyrus, Zokyo Studio, Coinbase, DoublePeak, GravityX, JRR, Master, PetRock, Signum, Wave7, SMO"
Suptho,rku44v,Preseed,8/1/2022,1,https://www.cypherhunter.com/en/e/suptho-raised-funding-2023-01-12/,"Adam Weitsman, Borderless, Cogitent, Delta Blockchain, MH, Orange, Shima, Signum, Tech Garden"
Switchboard,iik6nb,Seed,6/1/2021,3.5,https://switchboardxyz.medium.com/switchboard-raises-3-5mm-seed-and-announces-solana-mainnet-beta-5dc21eefece,"Alameda, Ascensive, Chris McCann, CMS, Collab+Currency, Divergence, JST, Lemniscap, MGNR, Paul Martin, Ryon Nixon, SCC, Taureon, Zeal"
Synesis One,mhf5jn,Seed,12/1/2021,9.5,https://cointelegraph.com/press-releases/synesis-one-raises-95m-to-gamify-ai-data-collection,"Cultur3, Metacartel, Kenetic, Shima, LD, YGG, Tradecraft, A195, GBIC, Alphanonce, NGC, Magnus, Master, Ethernity, AU21, D1Ventures, Linkpad VC, Efficient Frontier, Kryptos, Kairon Labs, Cipholio, Valhalla, 0xVenturess, Baselayer, Trent McConaghy, Gabby Dizon, Alex Alexandrov, Pisit Poosanakhom, Jonah Hong"
Tanssi,zc045a,Seed,5/1/2023,3,https://viewsdao.com/v/Moondance-Labs-Raises-3-Million-in-Seed-Funding-for-Tanssi-Protocol-Development0,"Arrington, Borderless, C Squared, D1Ventures, Fenbushi, Hashkey, Hypersphere, Jsquare"
TEA Project,xmaehz,Preseed,6/1/2021,,,"Hashkey, Waterdrip, Rebase, Polkaworld_Sub0"
TEA Project,xmaehz,Seed,4/1/2022,1.3,https://teaproject.medium.com/the-tea-project-secures-second-funding-round-to-build-Web3 Capital-decentralized-computing-a2f2e1ea6476,"Bitrise, Dragon Roark, Draper Dragon, Oracles, Peak Performance, Rebase D., subo, Wealth Union, Youbi, JDI"
Teleport,aehc1q,Seed,10/1/2022,9,,"305 Ventures, 6th Man, Anti, Common Metal, Dan Romero, Foundation, Jake Paul, NxGen xyz, Road, Ryan McKillen, Ryan Petersen, Thursday"
Tempo,l84cmm,Seed,3/1/2023,2.6,,"Flori, Reshape"
Terminal3,gf055c,Seed,3/1/2023,,https://finance.yahoo.com/news/terminal-3-raises-pre-seed-044113273.html,"500 Global, Bixin, BlackPine, Bored Room, CMCC Global, Consensys, DWeb3 Capital"
Theta Fuel,bsun3b,Seed,11/1/2017,8.26,,"DCM, ZMT, Sierra"
Theta Fuel,bsun3b,Series A,1/1/2018,29.1,,"Advancit, aelf., Bertelsmann, Colopl Next, Creative Artists Agency, DHVC, GC VR, GREE, Green Pine, HEuropean Unionristic, Infinite, Nirvana, Seraph, Sony Innovation, Sparkland, Stateless, Zhiping, No Talking, Samsung NEXT"
Theta Fuel,bsun3b,Series B,3/1/2021,100,https://coinchapter.com/institutional-investors-stake-over-100-million-in-theta-network/,"Alpha Sigma, Axone, Cambridge Associates, Du, GFR, Greycroft, gumi Cryptos, HyperChain, IBC Blockchain, IOBC, IOSG, Katy Perry, LBank Labs, Primitive, RR2, Venture Reality"
Together.ai,rr8fxt,Seed,9/1/2022,4,,"Cadenza, Definition"
Together.ai,rr8fxt,Series A,5/1/2023,20,https://techcrunch.com/2023/05/15/together-raises-20m-to-build-open-source-generative-ai-models/,"A Inn, Alexander Atallah, Chafic Kazoun, Chase Lochmiller, Common Metal, David Eisenberg, Factory, First Round, Jakob Uszkoreit, Jeff Hammerbacher, Jennifer Campbell, Lip-Bu Tan, Long Journey, Lux, Marc Bhargava, MC Lader, Robot, Sabrina Hahn, SCB 10X, Scott Banister, SongYee Yoon, Susa, SV Angel, Xiaodong Song, Yi Sung Yong, Zach Frankel"
Together.ai,rr8fxt,Series B,11/1/2023,102.5,https://techcrunch.com/2023/11/29/together-lands-102-5m-investment-to-grow-its-cloud-for-training-generative-ai/,"Kleiner Perkins, Nvidia, Emergence"
Trace,bjvhmg,Seed,6/1/2021,1.63,https://www.newsbtc.com/news/company/trace-network-raises-strategic-investment-of-over-1-6-million-from-leading-blockchain-investors/,"18Ventures, Acheron Trading, AU21, DAO Maker, Delta Blockchain, EtH Design, GBV, Genblock, Inclusion, LD, Lotus, Mapleblock, Master, MoonBoots, Moonrock, Moonwhale, MorningStar, NGC, OKX, Sandeep Nailwal"
Tresorio,l7nsll,Preseed,7/1/2019,0.54,https://www.tresorio.com/en/post/tresorio-raises-480-000-to-accelerate-its-development,"Deret FD, Sistema Strategy, Unico"
Trixta,3ztu6q,Preseed,1/1/2018,0.68,,Yossi Hasson
Tromero,hi03tk,Seed,7/1/2023,1.92,https://tech.European Union/2023/07/18/tromero-raises-ps15-million-to-make-ai-training-and-hosting-cheaper-through-crypto-mining/,"Ambush, BlueYard"
UKISS,4uhpxf,Preseed,12/1/2021,,,"BlocTech, CB, DCT, Eastern, Eastern Epics, IBM, Jupyton, Sheesha, Supra"
Untangled,xexd0a,Series A,10/1/2023,13.5,https://www.coindesk.com/business/2023/10/10/tokenized-rwa-platform-untangled-goes-live-gets-135m-funding-to-bring-private-credit-on-chain/,"Fasanara, First Impact"
Vaiot,sa6vqu,Seed,9/1/2020,5,https://siliconcanals.com/news/vaiot-combines-ai-and-blockchain-digitise-business-processes-raises-seed-funding/,MoonBoots
Verisoul,2gzcyz,Seed,9/1/2023,3.25,https://www.verisoul.ai/press-releases/verisoul-raises-3m-to-help-businesses-conquer-fake-users,"BITKRAFT, Hashkey, King River, Michael Monovoukas, Monoceros, Third Prime, 500 Global"
Veritree,hhtpfc,Preseed,3/1/2023,,,"Broad Street Bulls, GarageCapital, Northside"
VIP3,517uvj,Seed,8/1/2023,2,https://www.globenewswire.com/news-release/2023/08/07/2719930/0/en/VIP3-io-Raised-2-Million-in-Seed-Round-Financing-Unveils-Innovative-On-Chain-Membership-Platform.html,"Ankr, IOBC, Paka"
VO2,6q3z9k,Preseed,3/1/2022,0.4,https://technical.ly/startups/vo2-techstars-sports-accelerator/,"Eberg, Pareto, Rough Draft, Techstars"
Waev,mwkpfa,Preseed,1/1/2022,,,"305 Ventures, Shima"
Weavechain,s1imi6,Preseed,11/1/2021,1.5,,"Parade, Accel, Accelerator, Asymmetric, Rolling Fun"
Weaver Labs,nyvs73,Preseed,12/1/2021,0.53,https://justentreprenEuropean Unionrs.co.uk/news/weaver-labs-secures-400000-uk-government-funding-in-future-ran-competition,UK Government
WeDataNation,ah17kx,Accelerator,2/28/2023,,https://blockchain-founders.io/news/blockchain-founders-group-accelerates-wedatanation-to-empower-new-data-economy,Blockchain Founders Fund
WeHealth,80us6v,Preseed,12/1/2020,0.33,,StartUp Health
Wiman,ypklkh,Preseed,12/1/2016,0.42,https://www.finsmes.com/2016/12/wiman-raises-approx-e400k-in-funding.html,"Programma 101, Microsoft, Club Italia, Tim, Working, Nana Bianca, FbStart"
Woolly Farms,xh846b,Preseed,4/1/2022,0.58,https://startupstorymedia.com/insights-bengaluru-based-woolly-farms-gets-an-investment-of-rs-4-39-cr-from-mumbai-angels-and-others/,"Arjunaid, Callapina, Konglo, Malabar Angels, MAVM Angels, Mentorous, Rahul Nair"
Wynd,9qbidj,Seed,12/1/2023,3.5,https://blockworks.co/news/blockchain-artificial-intelligence-fundraise,"No Limit, Big Brain, Polychain, Tribe, Bitscale, Big Brain, Advisors Anonymous, Typhon V, Mozaik"
